Model,Tagging Scheme,Learning Rate,Precision,Recall,F1
KB/bert-base-swedish-cased,BIO,1e-05,0.9444444444444444,0.9760765550239234,0.96
KB/bert-base-swedish-cased,BIO,2e-05,0.9671361502347418,0.9856459330143541,0.976303317535545
KB/bert-base-swedish-cased,BIO,5e-05,0.9764150943396226,0.9904306220095693,0.9833729216152018
KB/bert-base-swedish-cased,BIOES,1e-05,0.9107142857142857,0.9760765550239234,0.9422632794457274
KB/bert-base-swedish-cased,BIOES,2e-05,0.9315068493150684,0.9760765550239234,0.9532710280373832
KB/bert-base-swedish-cased,BIOES,5e-05,0.9626168224299065,0.9856459330143541,0.9739952718676123
google-bert/bert-base-multilingual-cased,BIO,1e-05,0.9444444444444444,0.9760765550239234,0.96
google-bert/bert-base-multilingual-cased,BIO,2e-05,0.9308755760368663,0.9665071770334929,0.948356807511737
google-bert/bert-base-multilingual-cased,BIO,5e-05,0.9904761904761905,0.9952153110047847,0.9928400954653939
google-bert/bert-base-multilingual-cased,BIOES,1e-05,0.9103139013452914,0.9712918660287081,0.9398148148148148
google-bert/bert-base-multilingual-cased,BIOES,2e-05,0.9904761904761905,0.9952153110047847,0.9928400954653939
google-bert/bert-base-multilingual-cased,BIOES,5e-05,0.9764150943396226,0.9904306220095693,0.9833729216152018
